Season,EpisodeLabel,AirDate,ViewersMillions,Week,VoteCountMillions
8,"9 | ""Episode 805A""","April 7, 2009",14.56,,
9,"1 | ""Episode 901""","September 21, 2009",17.79,1,
9,"10 | ""Episode 905""","October 19, 2009",16.82,5,
9,"11 | ""Episode 905A""","October 20, 2009",14.92,,
9,"12 | ""Episode 906""","October 26, 2009",17.38,6,
9,"13 | ""Episode 906A""","October 27, 2009",15.2,,
9,"14 | ""Episode 907""","November 2, 2009",16.69,7,
9,"15 | ""Episode 907A""","November 3, 2009",15.05,,
9,"16 | ""Episode 908""","November 9, 2009",17.62,8,
9,"17 | ""Episode 908A""","November 10, 2009",16.23,,
9,"18 | ""Episode 909""","November 16, 2009",18.84,9,
9,"19 | ""Episode 909A""","November 17, 2009",16.02,,
9,"2 | ""Episode 901A""","September 22, 2009",15.37,,
9,"20 | ""Episode 910""","November 23, 2009",20.41,10,
9,"21 | ""Episode 910A""","November 24, 2009",19.29,,
9,"3 | ""Episode 901B""","September 23, 2009",15.36,1,
9,"4 | ""Episode 902""","September 28, 2009",17.03,2,
9,"5 | ""Episode 902A""","September 29, 2009",13.02,,
9,"6 | ""Episode 903""","October 5, 2009",16.35,3,
9,"7 | ""Episode 903A""","October 6, 2009",12.42,,
9,"8 | ""Episode 904""","October 12, 2009",16.79,4,
9,"9 | ""Episode 904A""","October 13, 2009",13.95,,
10,"1 | ""Week 1""","March 22, 2010",24.19,1,
10,"10 | ""Week 6""","April 26, 2010",20.4,6,
10,"11 | ""Week 6: Results""","April 27, 2010",12.39,,
10,"12 | ""Week 7""","May 3, 2010",19.64,7,
10,"13 | ""Week 7: Results""","May 4, 2010",12.04,,
10,"14 | ""Week 8""","May 10, 2010",19.16,8,
10,"15 | ""Week 8: Results""","May 11, 2010",12.52,,
10,"16 | ""Week 9""","May 17, 2010",19.04,9,
10,"17 | ""Week 9: Results""","May 18, 2010",13.19,,
10,"18 | ""Week 10""","May 24, 2010",19.36,10,
10,"19 | ""Week 10: Results""","May 25, 2010",18.4,,
10,"2 | ""Week 2""","March 29, 2010",22.97,2,
10,"3 | ""Week 2: Results""","March 30, 2010",14.28,,
10,"4 | ""Week 3""","April 5, 2010",21.21,3,
10,"5 | ""Week 3: Results""","April 6, 2010",12.44,,
10,"6 | ""Week 4""","April 12, 2010",20.56,4,
10,"7 | ""Week 4: Results""","April 13, 2010",13.6,,
10,"8 | ""Week 5""","April 19, 2010",21.07,5,
10,"9 | ""Week 5: Results""","April 20, 2010",13.56,,
11,Row 1,,21.0,1,
11,Row 10,,23.702,10,
11,Row 2,,21.341,2,
11,Row 3,,19.889,3,
11,Row 4,,19.526,4,
11,Row 5,,19.33,5,
11,Row 6,,20.412,6,
11,Row 7,,19.934,7,
11,Row 8,,19.952,8,
11,Row 9,,20.679,9,
13,Final results show,"November 22, 2011",19.45,,
13,Meet the cast,"September 20, 2011",10.97,,
13,Performance show 1,"September 19, 2011",19.03,1,
13,Performance show 10,"November 21, 2011",19.61,10,
13,Performance show 2,"September 26, 2011",16.23,2,
13,Performance show 3,"October 3, 2011",16.4,3,
13,Performance show 4,"October 10, 2011",16.3,4,
13,Performance show 5,"October 17, 2011",17.47,5,
13,Performance show 6,"October 24, 2011",16.99,6,
13,Performance show 7,"October 31, 2011",16.3,7,
13,Performance show 8,"November 7, 2011",18.03,8,
13,Performance show 9,"November 14, 2011",18.5,9,
13,Results show 1,"September 20, 2011",14.79,,
13,Results show 2,"September 27, 2011",14.39,,
13,Results show 3,"October 4, 2011",14.8,,
13,Results show 4,"October 11, 2011",16.6,,
13,Results show 5,"October 18, 2011",13.5,,
13,Results show 6,"October 25, 2011",14.1,,
13,Results show 7,"November 1, 2011",15.21,,
13,Results show 8,"November 8, 2011",14.8,,
13,Results show 9,"November 15, 2011",15.15,,
13,Special,"September 27, 2011",9.49,,
13,Special,"October 4, 2011",9.11,,
14,"""Season Finale""","May 22, 2012",17.75,10,
14,"""Top 10 Perform""","April 9, 2012",16.39,4,
14,"""Top 10 Results""","April 10, 2012",13.39,,
14,"""Top 11 Perform""","April 2, 2012",16.87,3,
14,"""Top 11 Results""","April 3, 2012",15.61,,
14,"""Top 12 Perform (Week 1)""","March 19, 2012",18.79,1,
14,"""Top 12 Perform (Week 2)""","March 26, 2012",17.96,2,
14,"""Top 12 Results""","March 27, 2012",15.74,,
14,"""Top 3 Perform""","May 21, 2012",16.84,10,
14,"""Top 4 Perform""","May 14, 2012",15.79,9,
14,"""Top 4 Results""","May 15, 2012",13.23,,
14,"""Top 6 Perform""","May 7, 2012",16.37,8,
14,"""Top 6 Results""","May 8, 2012",13.71,,
14,"""Top 7 Perform""","April 30, 2012",16.2,7,
14,"""Top 7 Results""","May 1, 2012",13.87,,
14,"""Top 8 Perform""","April 23, 2012",17.62,6,
14,"""Top 8 Results""","April 24, 2012",14.54,,
14,"""Top 9 Perform""","April 16, 2012",16.65,5,
14,"""Top 9 Results""","April 17, 2012",14.17,,
15,"""Performance Show 1: Week 5""","October 22, 2012",13.27,5,
15,"""Performance Show 2: Week 5""","October 23, 2012",12.9,5,
15,"""Performance Show: Week 1""","September 24, 2012",14.11,1,
15,"""Performance Show: Week 10""","November 26, 2012",16.3,10,
15,"""Performance Show: Week 2""","October 1, 2012",12.38,2,
15,"""Performance Show: Week 3""","October 8, 2012",13.55,3,
15,"""Performance Show: Week 4""","October 15, 2012",13.64,4,
15,"""Performance Show: Week 6""","October 29, 2012",13.9,6,
15,"""Performance Show: Week 7""","November 5, 2012",13.48,7,
15,"""Performance Show: Week 8""","November 12, 2012",13.79,8,
15,"""Performance Show: Week 9""","November 19, 2012",14.28,9,
15,"""Results Show: Week 1""","September 25, 2012",11.79,,
15,"""Results Show: Week 2""","October 2, 2012",12.03,,
15,"""Results Show: Week 3""","October 9, 2012",13.33,,
15,"""Results Show: Week 4""","October 16, 2012",12.92,,
15,"""Results Show: Week 6""","October 30, 2012",11.49,,
15,"""Results Show: Week 8""","November 13, 2012",12.11,,
15,"""Results Show: Week 9""","November 20, 2012",13.01,,
15,"""Season Finale""","November 27, 2012",16.73,,
16,"""Exclusive First Look""","March 19, 2013",9.76,,
16,"""Performance Show: Week 1""","March 18, 2013",17.06,1,
16,"""Performance Show: Week 10""","May 20, 2013",14.97,10,
16,"""Performance Show: Week 2""","March 25, 2013",14.47,2,
16,"""Performance Show: Week 3""","April 1, 2013",13.91,3,
16,"""Performance Show: Week 4""","April 8, 2013",13.15,4,
16,"""Performance Show: Week 5""","April 15, 2013",13.4,5,
16,"""Performance Show: Week 6""","April 22, 2013",13.77,6,
16,"""Performance Show: Week 7""","April 29, 2013",13.45,7,
16,"""Performance Show: Week 8""","May 6, 2013",13.12,8,
16,"""Performance Show: Week 9""","May 13, 2013",13.33,9,
16,"""Results Show: Week 2""","March 26, 2013",13.43,,
16,"""Results Show: Week 3""","April 2, 2013",13.98,,
16,"""Results Show: Week 4""","April 9, 2013",12.13,,
16,"""Results Show: Week 5""","April 16, 2013",12.73,,
16,"""Results Show: Week 6""","April 23, 2013",12.65,,
16,"""Results Show: Week 7""","April 30, 2013",10.89,,
16,"""Results Show: Week 8""","May 7, 2013",10.79,,
16,"""Results Show: Week 9""","May 14, 2013",11.87,,
16,"""Season Finale""","May 21, 2013",15.2,,
17,"""The Finals: Part 1""","November 25, 2013",14.61,11,
17,"""The Finals: Part 2""","November 26, 2013",14.75,,
17,"""Week 10: Plugged/Unplugged Night (Semifinals)""","November 18, 2013",13.8,10,
17,"""Week 1: Premiere""","September 16, 2013",16.04,1,
17,"""Week 2: Latin Night""","September 23, 2013",13.57,2,
17,"""Week 3: Hollywood Night""","September 30, 2013",13.1,3,
17,"""Week 4""","October 7, 2013",13.0,4,
17,"""Week 5: Most Memorable Year""","October 14, 2013",12.99,5,
17,"""Week 6: Switch-Up Challenge""","October 21, 2013",13.35,6,
17,"""Week 7: Team Dance Week""","October 28, 2013",13.28,7,
17,"""Week 8: Cher Week""","November 4, 2013",13.72,8,
17,"""Week 9: Trio Challenge""","November 11, 2013",12.57,9,
18,"""Week 10: The Finals - Part 1""","May 19, 2014",15.66,10,
18,"""Week 10: The Finals - Part 2""","May 20, 2014",15.07,,
18,"""Week 1: Premiere""","March 17, 2014",15.44,1,
18,"""Week 2: Star-Chosen Dances""","March 24, 2014",14.65,2,
18,"""Week 3: Most Memorable Year""","March 31, 2014",14.1,3,
18,"""Week 4: Switch-Up Night""","April 7, 2014",14.47,4,
18,"""Week 5: Disney Night""","April 14, 2014",14.78,5,
18,"""Week 6: Party Anthems Night""","April 21, 2014",14.06,6,
18,"""Week 7: Latin Night""","April 28, 2014",15.88,7,
18,"""Week 8: Celebrity Dance Duels""","May 5, 2014",13.12,8,
18,"""Week 9: American Icons""","May 12, 2014",14.36,9,
18,Road to the Finals,"May 20, 2014",11.64,,
19,"""The Road to the Finals""","November 25, 2014",11.31,,
19,"""Week 10: Plugged/Unplugged Night (Semifinals)""","November 17, 2014",14.29,10,
19,"""Week 11: The Finals – Part 1""","November 24, 2014",14.87,11,
19,"""Week 11: The Finals – Part 2""","November 25, 2014",15.98,,
19,"""Week 1: Results Show""","September 16, 2014",12.68,,
19,"""Week 1: Season Premiere""","September 15, 2014",13.64,1,
19,"""Week 2: My Jam Monday""","September 22, 2014",12.76,2,
19,"""Week 2: Results Show""","September 23, 2014",9.96,,
19,"""Week 3: Movie Night""","September 29, 2014",12.5,3,
19,"""Week 4: Most Memorable Year""","October 6, 2014",12.74,4,
19,"""Week 5: Partner Switch-Up""","October 13, 2014",12.74,5,
19,"""Week 6""","October 20, 2014",12.58,6,
19,"""Week 7: Halloween Night""","October 27, 2014",12.62,7,
19,"""Week 8: Dynamic Duos Night""","November 3, 2014",13.09,8,
19,"""Week 9: America's Choice Night""","November 10, 2014",13.3,9,
20,"""10th Anniversary Special""[46]","April 28, 2015",10.07,,
20,"""Week 10: Finals: Night 1""","May 18, 2015",14.35,10,
20,"""Week 10: Finals: Night 2""","May 19, 2015",13.49,,
20,"""Week 1: Season Premiere""","March 16, 2015",14.16,1,
20,"""Week 2: My Jam Monday""","March 23, 2015",13.85,2,
20,"""Week 3: Latin Night""","March 30, 2015",13.76,3,
20,"""Week 4: Most Memorable Year""","April 6, 2015",13.75,4,
20,"""Week 5: Disney Night""","April 13, 2015",13.89,5,
20,"""Week 6: Spring Break Special""","April 20, 2015",13.42,6,
20,"""Week 7: Eras Night""","April 27, 2015",13.22,7,
20,"""Week 8: America's Choice""","May 4, 2015",12.43,8,
20,"""Week 8: America's Choice: The Results""","May 5, 2015",10.29,,
20,"""Week 9: Semi-Finals""","May 11, 2015",13.48,9,
20,"""Week 9: Semi-Finals: The Results""","May 12, 2015",10.16,,
21,1,"September 14, 2015",13.13,1,
21,10,"November 2, 2015",12.09,8,
21,11,"November 9, 2015",12.63,9,
21,12,"November 16, 2015",12.35,10,
21,13,"November 23, 2015",13.29,11,
21,14,"November 24, 2015",13.49,,
21,2,"September 15, 2015",5.7,,
21,3,"September 21, 2015",11.46,2,
21,4,"September 22, 2015",9.58,,
21,5,"September 28, 2015",11.04,3,
21,6,"October 5, 2015",11.82,4,
21,7,"October 12, 2015",11.64,5,
21,8,"October 19, 2015",12.5,6,
21,9,"October 26, 2015",11.86,7,
22,1,"March 21, 2016",12.46,1,
22,10,"May 23, 2016",12.34,10,
22,11,"May 24, 2016",10.49,,
22,2,"March 28, 2016",11.97,2,
22,3,"April 4, 2016",11.72,3,
22,4,"April 11, 2016",12.51,4,
22,5,"April 18, 2016",10.95,5,
22,6,"April 25, 2016",11.75,6,
22,7,"May 2, 2016",11.81,7,
22,8,"May 9, 2016",11.33,8,
22,9,"May 16, 2016",11.64,9,
23,1,"September 12, 2016",12.19,1,
23,10,"October 24, 2016",11.03,7,
23,11,"October 31, 2016",10.39,8,
23,12,"November 7, 2016",10.84,9,
23,13,"November 14, 2016",11.34,10,
23,14,"November 21, 2016",11.97,11,
23,15,"November 22, 2016",10.97,,
23,2,"September 19, 2016",10.71,2,
23,3,"September 20, 2016",8.6,,
23,4,"September 26, 2016",10.83,3,
23,5,"September 27, 2016",8.03,,
23,6,"October 3, 2016",10.73,4,
23,7,"October 4, 2016",9.12,,
23,8,"October 10, 2016",10.43,5,
23,9,"October 17, 2016",10.55,6,
24,1,"March 20, 2017",12.09,1,
24,10,"May 22, 2017",10.54,10,
24,11,"May 23, 2017",8.91,,
24,2,"March 27, 2017",11.12,2,
24,3,"April 3, 2017",10.47,3,
24,4,"April 10, 2017",10.31,4,
24,5,"April 17, 2017",11.18,5,
24,6,"April 24, 2017",10.35,6,
24,7,"May 1, 2017",10.31,7,
24,8,"May 8, 2017",9.95,8,
24,9,"May 15, 2017",10.07,9,
25,"1 | ""Week 1: Premiere""","September 18, 2017",10.71,1,
25,"10 | ""Week 9: Semifinals""","November 13, 2017",9.88,9,
25,"11 | ""Week 10: Finals (Night 1)""","November 20, 2017",10.08,10,
25,"12 | ""Week 10: Finals (Night 2)""","November 21, 2017",9.2,,
25,"2 | ""Week 2: Ballroom Night (Night 1)""","September 25, 2017",8.67,2,
25,"3 | ""Week 2: Latin Night (Night 2)""","September 26, 2017",7.22,2,
25,"4 | ""Week 3: Guilty Pleasures Night""","October 2, 2017",9.06,3,
25,"5 | ""Week 4: Most Memorable Year Night""","October 9, 2017",9.25,4,
25,"6 | ""Week 5: Disney Night""","October 16, 2017",9.76,5,
25,"7 | ""Week 6: A Night at the Movies""","October 23, 2017",9.15,6,
25,"8 | ""Week 7: Halloween Night""","October 30, 2017",9.93,7,
25,"9 | ""Week 8: Quarterfinals""","November 6, 2017",9.3,8,
26,"1 | ""Week 1: Premiere""","April 30, 2018",8.48,1,
26,"2 | ""Week 2""","May 7, 2018",7.73,2,
26,"3 | ""Week 3: MVP Night (Semifinals)""","May 14, 2018",7.68,3,
26,"4 | ""Week 4: The Finals""","May 21, 2018",8.77,4,
27,"1 | ""Premiere (Night 1)""","September 24, 2018",7.68,1,
27,"10 | ""Semi-Finals""","November 12, 2018",7.29,10,
27,"11 | ""Finale""","November 19, 2018",7.9,11,
27,"2 | ""Premiere (Night 2)""","September 25, 2018",6.55,1,
27,"3 | ""New York City Night""","October 1, 2018",7.06,2,
27,"4 | ""Las Vegas Night""","October 2, 2018",6.1,2,
27,"5 | ""Most Memorable Year Night""","October 8, 2018",7.22,3,
27,"6 | ""Trio Night""","October 15, 2018",6.89,4,
27,"7 | ""Disney Night""","October 22, 2018",7.27,5,
27,"8 | ""Halloween Night""","October 29, 2018",7.25,6,
27,"9 | ""Country Night""","November 5, 2018",7.1,7,
28,"1 | ""2019 Season Premiere""","September 16, 2019",8.07,1,
28,"10 | ""Semi-Finals""","November 18, 2019",6.63,10,
28,"11 | ""Finale""","November 25, 2019",7.79,11,
28,"2 | ""First Elimination""","September 23, 2019",6.4,2,
28,"3 | ""Movie Night""","September 30, 2019",6.58,3,
28,"4 | ""Top 10""","October 7, 2019",6.4,4,
28,"5 | ""Disney Night""","October 14, 2019",6.61,5,
28,"6 | ""Week 6""","October 21, 2019",6.28,6,
28,"7 | ""Halloween Night""","October 28, 2019",6.4,7,
28,"8 | ""Dance-Off Week""","November 4, 2019",6.2,8,
28,"9 | ""Boy Band & Girl Group Night""","November 11, 2019",6.75,9,
29,"1 | ""2020 Premiere""","September 14, 2020",8.12,1,
29,"10 | ""Semi-Finals""","November 16, 2020",5.75,10,
29,"11 | ""Finale""","November 23, 2020",6.41,11,
29,"2 | ""First Elimination""","September 22, 2020",6.09,2,
29,"3 | ""Disney Night""","September 28, 2020",6.87,3,
29,"4 | ""Top 13""","October 5, 2020",5.84,4,
29,"5 | ""'80s Night""","October 12, 2020",6.26,5,
29,"6 | ""Top 11""","October 19, 2020",5.75,6,
29,"7 | ""Villains Night""","October 26, 2020",5.48,7,
29,"8 | ""Double Elimination Night – Use Your Vote!""","November 2, 2020",5.55,8,
29,"9 | ""Icons Night""","November 9, 2020",5.97,9,
30,"1 | ""Season 30 Premiere""","September 20, 2021",5.47,1,
30,"10 | ""Semi-Finals""","November 15, 2021",4.81,10,
30,"11 | ""Finale""","November 22, 2021",5.64,11,
30,"2 | ""First Elimination""","September 27, 2021",4.88,2,
30,"3 | ""Britney Night""","October 4, 2021",4.74,3,
30,"4 | ""Disney Week: Heroes Night""","October 11, 2021",4.61,4,
30,"5 | ""Disney Week: Villains Night""","October 12, 2021",4.32,4,
30,"6 | ""Grease Night""","October 18, 2021",5.02,5,
30,"7 | ""Horror Night""","October 25, 2021",4.86,6,
30,"8 | ""Queen Night""","November 1, 2021",4.79,7,
30,"9 | ""Janet Jackson Night""","November 8, 2021",4.72,8,
32,"1 | ""Premiere Night""","September 26, 2023",4.78,1,
32,"10 | ""Semi-Finals""","November 28, 2023",5.1,10,
32,"11 | ""Finale""","December 5, 2023",5.5,11,
32,"2 | ""Latin Night""","October 3, 2023",4.53,2,
32,"3 | ""Motown Night""","October 10, 2023",5.13,3,
32,"4 | ""Disney100 Night""","October 17, 2023",4.76,4,
32,"5 | ""Most Memorable Year""","October 24, 2023",4.73,5,
32,"6 | ""Monster Night""","October 31, 2023",4.75,6,
32,"7 | ""Music Video Night""","November 7, 2023",4.87,7,
32,"8 | ""Whitney Houston Night""","November 14, 2023",5.12,8,
32,"9 | ""A Celebration of Taylor Swift""","November 21, 2023",5.7,9,
33,"1 | ""Premiere""","September 17, 2024",4.97,1,
33,"10 | ""Finale""","November 26, 2024",6.36,10,32
33,"2 | ""Oscars Night""","September 24, 2024",4.89,2,14
33,"3 | ""Soul Train Night""","October 7, 2024",3.98,3,
33,"4 | ""Hair Metal Night""","October 8, 2024",4.52,3,
33,"5 | ""Dedication Night""","October 15, 2024",4.4,4,
33,"6 | ""Disney Night""","October 22, 2024",4.85,5,16
33,"7 | ""Halloween Nightmares Night""","October 29, 2024",4.47,6,
33,"8 | ""500th Episode""","November 12, 2024",5.13,7,
33,"9 | ""Semi-Finals""","November 19, 2024",5.19,8,
34,"1 | ""Premiere""","September 16, 2025",5.28,1,
34,"10 | ""Prince Night (Semi-Finals)""","November 18, 2025",7.22,10,
34,"11 | ""Finale""","November 25, 2025",9.43,11,72
34,"2 | ""One-Hit Wonders Night""","September 23, 2025",5.46,2,
34,"3 | ""TikTok Night""","September 30, 2025",5.83,3,
34,"4 | ""Disney Night""","October 7, 2025",5.88,4,
34,"5 | ""Dedication Night""","October 14, 2025",5.98,5,50
34,"6 | ""Wicked Night""","October 21, 2025",6.63,6,
34,"7 | ""Halloween Night""","October 28, 2025",6.74,7,
34,"8 | ""Rock & Roll Hall of Fame Night""","November 4, 2025",6.3,8,
34,"9 | ""20th Birthday Party""","November 11, 2025",6.67,9,
34,"Special | ""Dancing with the Holidays""","December 2, 2025",5.19,,
