season,week,is_final,name,viewers_millions,votes_per_viewer,proportion,proportion_min,proportion_max,proportion_range,proportion_volume,proportion_relative_volume,proportion_relative_volume_root,proportion_volume_reduction,absolute,absolute_min,absolute_max,absolute_range
2,5,False,Drew Lachey,18.83,0.51,0.148062,0.003105,0.708387,0.705282,0.001413100569443,0.1695720683331554,0.701247,0.75517,1433419,30059,6858060,6828001
2,6,False,George Hamilton,19.96,0.51,0.098523,0.031926,0.254246,0.22232,0.0045136771848252,0.1083282524358056,0.573701,0.533878,1011064,327631,2609128,2281496
2,6,False,Lisa Rinna,19.96,0.51,0.263796,0.042238,0.33103,0.288791,0.0045136771848252,0.1083282524358056,0.573701,0.533878,2707132,433457,3397097,2963639
2,6,False,Stacy Keibler,19.96,0.51,0.17088,0.005086,0.643904,0.638818,0.0045136771848252,0.1083282524358056,0.573701,0.533878,1753608,52198,6607880,6555681
2,6,False,Jerry Rice,19.96,0.51,0.267031,0.037419,0.704778,0.667359,0.0045136771848252,0.1083282524358056,0.573701,0.533878,2740324,384000,7232580,6848580
2,6,False,Drew Lachey,19.96,0.51,0.19977,0.003105,0.616949,0.613844,0.0045136771848252,0.1083282524358056,0.573701,0.533878,2050082,31863,6331258,6299395
2,7,False,Lisa Rinna,19.26,0.51,0.134582,0.042238,0.284627,0.242388,0.0296135014754996,0.1776810088529978,0.562186,0.516455,1332672,418256,2818461,2400205
2,7,False,Stacy Keibler,19.26,0.51,0.135155,0.005086,0.333176,0.32809,0.0296135014754996,0.1776810088529978,0.562186,0.516455,1338348,50368,3299213,3248845
2,7,False,Jerry Rice,19.26,0.51,0.405194,0.053681,0.803837,0.750155,0.0296135014754996,0.1776810088529978,0.562186,0.516455,4012357,531567,7959841,7428274
2,7,False,Drew Lachey,19.26,0.51,0.325069,0.008769,0.832867,0.824098,0.0296135014754996,0.1776810088529978,0.562186,0.516455,3218936,86834,8247309,8160475
2,8,True,Stacy Keibler,27.23,0.51,0.131433,0.005086,0.314507,0.309421,0.1516321533247505,0.303264306649501,0.550694,0.98989,1840061,71210,4403103,4331892
2,8,True,Jerry Rice,27.23,0.51,0.329594,0.053681,0.90501,0.851329,0.1516321533247505,0.303264306649501,0.550694,0.98989,4614317,751535,12670136,11918601
2,8,True,Drew Lachey,27.23,0.51,0.538973,0.051703,0.925074,0.873371,0.1516321533247505,0.303264306649501,0.550694,0.98989,7545622,723840,12951039,12227199
3,1,False,Harry Hamlin,20.22,0.51,0.115499,0.003112,0.450984,0.447872,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1200716,32351,4688378,4656027
3,1,False,Vivica A. Fox,20.22,0.51,0.100769,0.000978,0.38731,0.386332,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1047584,10165,4026430,4016265
3,1,False,Monique Coleman,20.22,0.51,0.099077,0.001638,0.596743,0.595105,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1029992,17024,6203672,6186648
3,1,False,Joey Lawrence,20.22,0.51,0.101557,0.002212,0.418383,0.416171,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1055777,22999,4349466,4326466
3,1,False,Mario Lopez,20.22,0.51,0.09315,0.000169,0.305539,0.305371,1.1516e-12,4.1789749908e-06,0.289806,0.466367,968375,1752,3176353,3174601
3,1,False,Emmitt Smith,20.22,0.51,0.103736,0.000327,0.408439,0.408111,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1078431,3404,4246081,4242677
3,1,False,Shanna Moakler,20.22,0.51,0.054261,0.000262,0.076747,0.076485,1.1516e-12,4.1789749908e-06,0.289806,0.466367,564091,2728,797858,795130
3,1,False,Willa Ford,20.22,0.51,0.106105,0.000496,0.466683,0.466188,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1103052,5154,4851588,4846434
3,1,False,Sara Evans,20.22,0.51,0.096413,0.000904,0.429908,0.429004,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1002297,9396,4469270,4459874
3,1,False,Jerry Springer,20.22,0.51,0.111715,0.004799,0.404052,0.399253,1.1516e-12,4.1789749908e-06,0.289806,0.466367,1161375,49895,4200484,4150589
3,1,False,Tucker Carlson,20.22,0.51,0.017718,6.8e-05,0.054343,0.054275,1.1516e-12,4.1789749908e-06,0.289806,0.466367,184195,711,564947,564236
3,2,False,Harry Hamlin,17.92,0.51,0.066673,0.007579,0.092979,0.0854,3.5144e-11,1.27530593703e-05,0.285877,0.643651,614287,69829,856651,786822
3,2,False,Vivica A. Fox,17.92,0.51,0.118035,0.000978,0.441653,0.440675,3.5144e-11,1.27530593703e-05,0.285877,0.643651,1087500,9009,4069114,4060105
3,2,False,Monique Coleman,17.92,0.51,0.104721,0.001638,0.489211,0.487574,3.5144e-11,1.27530593703e-05,0.285877,0.643651,964835,15088,4507283,4492196
3,2,False,Joey Lawrence,17.92,0.51,0.106459,0.002212,0.472727,0.470514,3.5144e-11,1.27530593703e-05,0.285877,0.643651,980848,20383,4355404,4335021
3,2,False,Mario Lopez,17.92,0.51,0.142114,0.008766,0.359883,0.351117,3.5144e-11,1.27530593703e-05,0.285877,0.643651,1309347,80761,3315732,3234970
3,2,False,Emmitt Smith,17.92,0.51,0.097182,0.004675,0.457124,0.452449,3.5144e-11,1.27530593703e-05,0.285877,0.643651,895371,43076,4211653,4168577
3,2,False,Shanna Moakler,17.92,0.51,0.009429,0.000262,0.053591,0.053329,3.5144e-11,1.27530593703e-05,0.285877,0.643651,86868,2418,493757,491339
3,2,False,Willa Ford,17.92,0.51,0.104112,0.002206,0.496517,0.494311,3.5144e-11,1.27530593703e-05,0.285877,0.643651,959218,20327,4574593,4554266
3,2,False,Sara Evans,17.92,0.51,0.119293,0.00714,0.446162,0.439022,3.5144e-11,1.27530593703e-05,0.285877,0.643651,1099095,65784,4110654,4044870
3,2,False,Jerry Springer,17.92,0.51,0.131982,0.018041,0.458396,0.440355,3.5144e-11,1.27530593703e-05,0.285877,0.643651,1215999,166214,4223369,4057154
3,3,False,Harry Hamlin,17.91,0.51,0.013069,0.007579,0.057594,0.050015,7.355762e-10,2.96584329323e-05,0.271656,0.341367,120340,69790,530342,460551
3,3,False,Vivica A. Fox,17.91,0.51,0.074001,0.000978,0.106805,0.105828,7.355762e-10,2.96584329323e-05,0.271656,0.341367,681417,9004,983488,974485
3,3,False,Monique Coleman,17.91,0.51,0.082647,0.001638,0.52879,0.527153,7.355762e-10,2.96584329323e-05,0.271656,0.341367,761034,15079,4869220,4854141
3,3,False,Joey Lawrence,17.91,0.51,0.141051,0.008593,0.493905,0.485312,7.355762e-10,2.96584329323e-05,0.271656,0.341367,1298825,79130,4547992,4468861
3,3,False,Mario Lopez,17.91,0.51,0.143989,0.017408,0.413474,0.396066,7.355762e-10,2.96584329323e-05,0.271656,0.341367,1325881,160300,3807363,3647063
3,3,False,Emmitt Smith,17.91,0.51,0.147386,0.027537,0.510715,0.483178,7.355762e-10,2.96584329323e-05,0.271656,0.341367,1357168,253569,4702783,4449215
3,3,False,Willa Ford,17.91,0.51,0.140673,0.010794,0.550108,0.539315,7.355762e-10,2.96584329323e-05,0.271656,0.341367,1295350,99390,5065522,4966131
3,3,False,Sara Evans,17.91,0.51,0.134458,0.00714,0.4761,0.46896,7.355762e-10,2.96584329323e-05,0.271656,0.341367,1238121,65748,4384038,4318291
3,3,False,Jerry Springer,17.91,0.51,0.122726,0.023604,0.443348,0.419744,7.355762e-10,2.96584329323e-05,0.271656,0.341367,1130090,217350,4082447,3865097
3,4,False,Vivica A. Fox,18.38,0.51,0.013047,0.000978,0.07439,0.073412,3.35197546e-08,0.0001689395633433,0.289138,0.390731,123296,9240,702974,693734
3,4,False,Monique Coleman,18.38,0.51,0.143302,0.023834,0.586385,0.56255,3.35197546e-08,0.0001689395633433,0.289138,0.390731,1354183,225231,5541258,5316027
3,4,False,Joey Lawrence,18.38,0.51,0.157008,0.008593,0.528064,0.519471,3.35197546e-08,0.0001689395633433,0.289138,0.390731,1483709,81207,4990137,4908930
3,4,False,Mario Lopez,18.38,0.51,0.19229,0.017408,0.471068,0.45366,3.35197546e-08,0.0001689395633433,0.289138,0.390731,1817118,164506,4451536,4287029
3,4,False,Emmitt Smith,18.38,0.51,0.14024,0.027537,0.56831,0.540773,3.35197546e-08,0.0001689395633433,0.289138,0.390731,1325249,260223,5370454,5110232
3,4,False,Willa Ford,18.38,0.51,0.078509,0.010794,0.142246,0.131453,3.35197546e-08,0.0001689395633433,0.289138,0.390731,741898,101999,1344210,1242212
3,4,False,Sara Evans,18.38,0.51,0.1143,0.023002,0.156563,0.133561,3.35197546e-08,0.0001689395633433,0.289138,0.390731,1080117,217368,1479503,1262135
3,4,False,Jerry Springer,18.38,0.51,0.161304,0.023604,0.500942,0.477338,3.35197546e-08,0.0001689395633433,0.289138,0.390731,1524302,223053,4733838,4510785
3,5,False,Monique Coleman,20.1,0.51,0.181791,0.031662,0.500358,0.468696,3.844042716e-07,0.0002767710755825,0.255282,0.577754,1878665,327202,5170795,4843593
3,5,False,Joey Lawrence,20.1,0.51,0.225535,0.046906,0.602454,0.555547,3.844042716e-07,0.0002767710755825,0.255282,0.577754,2330726,484738,6225871,5741133
3,5,False,Mario Lopez,20.1,0.51,0.179011,0.017408,0.487042,0.469634,3.844042716e-07,0.0002767710755825,0.255282,0.577754,1849932,179901,5033183,4853282
3,5,False,Emmitt Smith,20.1,0.51,0.175755,0.029311,0.576267,0.546956,3.844042716e-07,0.0002767710755825,0.255282,0.577754,1816289,302907,5955258,5652351
3,5,False,Willa Ford,20.1,0.51,0.032726,0.010794,0.112055,0.101261,3.844042716e-07,0.0002767710755825,0.255282,0.577754,338192,111544,1157998,1046455
3,5,False,Sara Evans,20.1,0.51,0.048305,0.023002,0.124018,0.101016,3.844042716e-07,0.0002767710755825,0.255282,0.577754,499194,237709,1281627,1043917
3,5,False,Jerry Springer,20.1,0.51,0.156877,0.036749,0.21843,0.181681,3.844042716e-07,0.0002767710755825,0.255282,0.577754,1621192,379773,2257297,1877524
3,7,False,Monique Coleman,20.69,0.51,0.182954,0.031662,0.254666,0.223004,0.0025542046235547,0.0613009109653139,0.497584,0.322995,1946182,336809,2709023,2372214
3,7,False,Joey Lawrence,20.69,0.51,0.246866,0.046906,0.803222,0.756315,0.0025542046235547,0.0613009109653139,0.497584,0.322995,2626040,498968,8544298,8045330
3,7,False,Mario Lopez,20.69,0.51,0.24327,0.017408,0.723107,0.705698,0.0025542046235547,0.0613009109653139,0.497584,0.322995,2587792,185182,7692072,7506889
3,7,False,Emmitt Smith,20.69,0.51,0.259798,0.029311,0.753935,0.724624,0.0025542046235547,0.0613009109653139,0.497584,0.322995,2763604,311797,8020012,7708215
3,7,False,Jerry Springer,20.69,0.51,0.067113,0.036749,0.165955,0.129206,0.0025542046235547,0.0613009109653139,0.497584,0.322995,713914,390920,1765356,1374435
3,8,False,Monique Coleman,20.51,0.51,0.087549,0.031662,0.222563,0.1909,0.0165378714254967,0.09922722855298,0.46296,0.454931,923200,333878,2346921,2013043
3,8,False,Joey Lawrence,20.51,0.51,0.20101,0.046906,0.332927,0.286021,0.0165378714254967,0.09922722855298,0.46296,0.454931,2119647,494627,3510713,3016086
3,8,False,Mario Lopez,20.51,0.51,0.344646,0.017408,0.854773,0.837364,0.0165378714254967,0.09922722855298,0.46296,0.454931,3634291,183571,9013568,8829997
3,8,False,Emmitt Smith,20.51,0.51,0.366795,0.032229,0.788288,0.756058,0.0165378714254967,0.09922722855298,0.46296,0.454931,3867849,339859,8312486,7972627
3,9,False,Joey Lawrence,21.98,0.51,0.174319,0.046906,0.29958,0.252674,0.0758921167769809,0.1517842335539619,0.389595,0.501074,1969936,530078,3385486,2855408
3,9,False,Mario Lopez,21.98,0.51,0.275942,0.055011,0.5,0.444989,0.0758921167769809,0.1517842335539619,0.389595,0.501074,3118356,621667,5650384,5028718
3,9,False,Emmitt Smith,21.98,0.51,0.549739,0.261829,0.898083,0.636253,0.0758921167769809,0.1517842335539619,0.389595,0.501074,6212480,2958875,10149026,7190151
3,10,True,Mario Lopez,26.8,0.51,0.281603,0.055011,0.499087,0.444076,0.2220382321559999,0.2220382321559999,0.222038,0.894193,3880183,757992,6876886,6118894
3,10,True,Emmitt Smith,26.8,0.51,0.718397,0.500913,0.944989,0.444076,0.2220382321559999,0.2220382321559999,0.222038,0.894193,9898738,6902034,13020928,6118894
4,2,False,John Ratzenberger,20.42,0.51,0.0989,0.006133,0.491851,0.485718,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1038326,64386,5163803,5099417
4,2,False,Ian Ziering,20.42,0.51,0.113861,0.001932,0.496105,0.494172,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1195399,20289,5208461,5188172
4,2,False,Clyde Drexler,20.42,0.51,0.133638,0.018044,0.540787,0.522743,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1403025,189442,5677568,5488126
4,2,False,Laila Ali,20.42,0.51,0.097858,1.1e-05,0.469668,0.469657,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1027388,115,4930908,4930792
4,2,False,Apolo Anton Ohno,20.42,0.51,0.10496,0.001112,0.616697,0.615585,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1101941,11675,6474531,6462855
4,2,False,Shandi Finnessey,20.42,0.51,0.060342,0.007568,0.082492,0.074924,1.6482e-12,5.9809071723e-06,0.300384,0.815053,633517,79455,866063,786608
4,2,False,Paulina Porizkova,20.42,0.51,0.008641,0.000336,0.034486,0.03415,1.6482e-12,5.9809071723e-06,0.300384,0.815053,90719,3526,362062,358536
4,2,False,Heather Mills,20.42,0.51,0.102353,0.000422,0.353941,0.353519,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1074577,4426,3715925,3711499
4,2,False,Billy Ray Cyrus,20.42,0.51,0.109151,0.004232,0.448602,0.44437,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1145946,44433,4709742,4665309
4,2,False,Joey Fatone,20.42,0.51,0.074114,0.002111,0.447113,0.445001,1.6482e-12,5.9809071723e-06,0.300384,0.815053,778101,22166,4694108,4671942
4,2,False,Leeza Gibbons,20.42,0.51,0.096181,0.004727,0.383173,0.378446,1.6482e-12,5.9809071723e-06,0.300384,0.815053,1009776,49627,4022827,3973200
4,3,False,John Ratzenberger,18.24,0.51,0.140447,0.020397,0.385426,0.36503,2.06463e-11,7.4921281897e-06,0.269471,0.62744,1317095,191279,3614487,3423208
4,3,False,Ian Ziering,18.24,0.51,0.101996,0.002337,0.352931,0.350593,2.06463e-11,7.4921281897e-06,0.269471,0.62744,956506,21917,3309744,3287828
4,3,False,Clyde Drexler,18.24,0.51,0.136074,0.032539,0.434451,0.401912,2.06463e-11,7.4921281897e-06,0.269471,0.62744,1276087,305146,4074233,3769086
4,3,False,Laila Ali,18.24,0.51,0.11124,0.0102,0.363428,0.353229,2.06463e-11,7.4921281897e-06,0.269471,0.62744,1043196,95652,3408192,3312539
4,3,False,Apolo Anton Ohno,18.24,0.51,0.097836,0.001732,0.358541,0.356808,2.06463e-11,7.4921281897e-06,0.269471,0.62744,917494,16243,3362355,3346111
4,3,False,Shandi Finnessey,18.24,0.51,0.01152,0.007568,0.029991,0.022423,2.06463e-11,7.4921281897e-06,0.269471,0.62744,108036,70973,281256,210283
4,3,False,Heather Mills,18.24,0.51,0.090461,0.005362,0.388427,0.383065,2.06463e-11,7.4921281897e-06,0.269471,0.62744,848336,50288,3642629,3592342
4,3,False,Billy Ray Cyrus,18.24,0.51,0.131226,0.011338,0.483088,0.47175,2.06463e-11,7.4921281897e-06,0.269471,0.62744,1230624,106328,4530348,4424020
4,3,False,Joey Fatone,18.24,0.51,0.108469,0.002866,0.433334,0.430469,2.06463e-11,7.4921281897e-06,0.269471,0.62744,1017213,26875,4063763,4036888
4,3,False,Leeza Gibbons,18.24,0.51,0.070731,0.004727,0.11345,0.108723,2.06463e-11,7.4921281897e-06,0.269471,0.62744,663305,44329,1063920,1019591
4,4,False,John Ratzenberger,18.84,0.51,0.161264,0.020397,0.415418,0.395021,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1562068,197571,4023892,3826322
4,4,False,Ian Ziering,18.84,0.51,0.11382,0.002337,0.382922,0.380585,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1102505,22638,3709125,3686488
4,4,False,Clyde Drexler,18.84,0.51,0.118977,0.032539,0.160531,0.127993,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1152455,315184,1554968,1239784
4,4,False,Laila Ali,18.84,0.51,0.115901,0.0102,0.39342,0.38322,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1122664,98799,3810811,3712012
4,4,False,Apolo Anton Ohno,18.84,0.51,0.109573,0.001732,0.382556,0.380824,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1061366,16778,3705582,3688805
4,4,False,Heather Mills,18.84,0.51,0.115818,0.005362,0.418419,0.413056,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1121858,51942,4052960,4001019
4,4,False,Billy Ray Cyrus,18.84,0.51,0.118995,0.011338,0.513079,0.501741,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1152633,109825,4969880,4860055
4,4,False,Joey Fatone,18.84,0.51,0.126094,0.002866,0.436209,0.433343,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,1221391,27759,4225282,4197523
4,4,False,Leeza Gibbons,18.84,0.51,0.019557,0.004727,0.054145,0.049418,1.5033011e-09,6.06130984412e-05,0.297044,0.35035,189435,45787,524465,478678
